Protected Heritage Area,Species Common Name,Animal Behaviour,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021,Total Incidents 2022,Total Incidents 2023
Aulavik National Park of Canada,Wolf,Contact-Property,,,,,,,,,1,,,,,
Auyuittuq National Park of Canada,Polar Bear,Contact-Property,,,,,,,1,,,,,,,
Banff National Park of Canada,Bighorn Sheep,Bluff Charge,,,,,1,,,,,,,1,,
Banff National Park of Canada,Bighorn Sheep,Chase,,,,,,,,,1,,,,,
Banff National Park of Canada,Bighorn Sheep,Contact-Property,,,,,,,1,3,,,,,,
Banff National Park of Canada,Bighorn Sheep,Physical or Aggressive Display,,1,,,,,,,,,,,1,
Banff National Park of Canada,Black Bear,Attack,,,,,,,,,,1,,,,
Banff National Park of Canada,Black Bear,Bluff Charge,,2,1,1,1,,5,1,3,2,1,1,4,3
Banff National Park of Canada,Black Bear,Chase,1,1,,1,,,,,1,,,,1,2
Banff National Park of Canada,Black Bear,Contact-Property,2,2,6,7,3,2,1,10,2,7,6,3,9,1
Banff National Park of Canada,Black Bear,Escort (Follow-Flank),,,1,,,,1,,,2,3,,,
Banff National Park of Canada,Black Bear,Physical or Aggressive Display,,1,1,1,,3,3,2,1,1,1,1,,
Banff National Park of Canada,Black Bear,Predatory Approach,,,,,,,,,,,,,,1
Banff National Park of Canada,Blue Grouse,Attack,,1,,,,,,,,,,,,
Banff National Park of Canada,Blue Grouse,Contact-Property,,,,,,,,,,,,1,,
Banff National Park of Canada,Blue Grouse,Physical or Aggressive Display,,,,,,,,,,1,,,,
Banff National Park of Canada,Columbian Ground Squirrel,Attack,,,,1,,,,,,,,,,
Banff National Park of Canada,Columbian Ground Squirrel,Contact-Property,,,,1,,2,3,,,,,,1,1
Banff National Park of Canada,Common Loon,Physical or Aggressive Display,,,,,,,,,,,,1,,
Banff National Park of Canada,Cougar,Bluff Charge,,,,1,,,,,,,,,,
Banff National Park of Canada,Cougar,Chase,,,,,,,,1,,,,,,
Banff National Park of Canada,Cougar,Contact-People,,,,1,,,,,,,,,,
Banff National Park of Canada,Cougar,Contact-Pet,,,,,,1,,,,,,,,
Banff National Park of Canada,Cougar,Escort (Follow-Flank),,5,,1,1,1,1,,1,,1,,,
Banff National Park of Canada,Cougar,Physical or Aggressive Display,,,,1,,,,,,,,3,,
Banff National Park of Canada,Coyote,Attack,,,,,,1,,,,,,,,
Banff National Park of Canada,Coyote,Bluff Charge,,,,4,,,,,,,,,3,
Banff National Park of Canada,Coyote,Chase,,,2,,1,,,,2,,1,,1,
Banff National Park of Canada,Coyote,Contact-People,,,,3,,1,,,,,,,,
Banff National Park of Canada,Coyote,Contact-Pet,,,1,1,3,2,,,3,,5,,4,1
Banff National Park of Canada,Coyote,Contact-Property,1,,,2,,1,1,4,3,1,2,2,,
Banff National Park of Canada,Coyote,Escort (Follow-Flank),1,3,1,9,4,1,1,2,3,3,5,2,14,1
Banff National Park of Canada,Coyote,Physical or Aggressive Display,3,3,2,5,1,,,,2,1,9,1,8,2
Banff National Park of Canada,Coyote,Predatory Approach,,1,,2,,,,,,,2,,,
Banff National Park of Canada,Crow,Contact-Property,,,,,,,,,,,,,,3
Banff National Park of Canada,Deer Mouse,Contact-Property,,,,,,,1,,,,,,,
Banff National Park of Canada,Domestic Dog,Chase,,1,,,,,1,1,,1,,,2,2
Banff National Park of Canada,Domestic Dog,Physical or Aggressive Display,,,,,,,,,,,,,,2
Banff National Park of Canada,Downy Woodpecker,Contact-Property,1,,,,,,,,,,,,,
Banff National Park of Canada,Elk,Attack,,,,,,,,1,,1,,,,
Banff National Park of Canada,Elk,Bluff Charge,14,4,12,5,8,17,14,10,12,42,28,31,37,22
Banff National Park of Canada,Elk,Chase,,1,,,2,,2,3,1,,3,1,,1
Banff National Park of Canada,Elk,Contact-People,,,,,,,1,2,,,1,,,
Banff National Park of Canada,Elk,Contact-Property,1,,,1,3,3,,1,,,6,1,,5
Banff National Park of Canada,Elk,Escort (Follow-Flank),,,,,,,1,,1,,3,8,,4
Banff National Park of Canada,Elk,Physical or Aggressive Display,12,2,13,12,10,14,16,16,7,35,18,26,14,51
Banff National Park of Canada,Field Sparrow,Contact-Property,,,,,1,,,,,,,,,
Banff National Park of Canada,Gray Jay,Contact-Property,,,,,,,,,,1,,,,
Banff National Park of Canada,Grizzly Bear,Attack,,,,,,1,,,2,,,,,1
