Incident Number,Incident Date,Field Unit,Protected Heritage Area,Incident Type,Species Common Name,Sum of Number of Animals,Animal Health Status,Cause of Animal Health Status,Animal Behaviour,Reason for Animal Behaviour,Animal Attractant,Deterrents Used,Animal Response to Deterrents
BAN2010-0003,2010-01-01,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Coyote,2,Healthy,,Avoidance,Surprise,Prey animal (natural),Presence of Officer/Person,
BAN2010-0003,2010-01-01,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Elk,1,Dead,Predation,,,,,
BAN2010-0003,2010-01-01,Banff Field Unit,Banff National Park of Canada,Human Wildlife Interaction,Wolf,3,Not Located,,,,Prey animal (natural),,
JNP2010-0011,2010-01-01,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
JNP2010-0015,2010-01-01,Jasper Field Unit,Jasper National Park of Canada,Attractant,None,0,,,,,Grain,,
JNP2010-0023,2010-01-01,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Mule Deer,1,Not Located,Collision,,,,,
JNP2010-0016,2010-01-02,Jasper Field Unit,Jasper National Park of Canada,Rescued/Recovered/Found Wildlife,Mule Deer,1,Dead,Collision,,,,,
LL2010-000001,2010-01-02,"Lake Louise, Yoho and Kootenay Field Unit",Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Moose,1,Dead,Collision,,Unknown,Unknown,,
PRN2010-0001,2010-01-02,Coastal British Columbia Field Unit,Pacific Rim National Park Reserve of Canada,Domestic Animal,Domestic Dog,3,,,Physical or Aggressive Display,Defence of Space,,,
BAN2010-0008,2010-01-03,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Coyote,1,Dead,Unknown,,,,,
BAN2010-0009,2010-01-03,Banff Field Unit,Banff National Park of Canada,Rescued/Recovered/Found Wildlife,Marten,1,Dead,Collision,,,,,
PA2010-0001,2010-01-03,Northern Prairies Field Unit,Prince Albert National Park of Canada,Rescued/Recovered/Found Wildlife,White-tailed Deer,1,Dead,Collision,,,,,
WL2010-0001,2010-01-03,Waterton Lakes Field Unit,Waterton Lakes National Park of Canada,Rescued/Recovered/Found Wildlife,Mule Deer,1,Dead,Collision,,,,,
